bacterial infections and mycoses,c01
vulvar vestibulitis,c13.351.500.944.902.368
vulvovaginitis,c13.351.500.944.902.737
"candidiasis, vulvovaginal",c13.351.500.944.902.737.500
vulvodynia,c13.351.500.944.951
pelvic floor disorders,c13.351.625
"tuberculosis, urogenital",c13.351.750
"tuberculosis, female genital",c13.351.750.940
"tuberculosis, renal",c13.351.750.970
urogenital abnormalities,c13.351.875
bladder exstrophy,c13.351.875.132
disorders of sex development,c13.351.875.253
"46, xx disorders of sex development",c13.351.875.253.064
"46, xx testicular disorders of sex development",c13.351.875.253.064.124
"gonadal dysgenesis, 46,xx",c13.351.875.253.064.249
hyperandrogenism,c13.351.875.253.064.500
adrenogenital syndrome,c13.351.875.253.090
"adrenal hyperplasia, congenital",c13.351.875.253.090.500
hyperandrogenism,c13.351.875.253.090.750
"disorder of sex development, 46,xy",c13.351.875.253.096
androgen-insensitivity syndrome,c13.351.875.253.096.500
denys-drash syndrome,c13.351.875.253.096.562
frasier syndrome,c13.351.875.253.096.624
"gonadal dysgenesis, 46,xy",c13.351.875.253.096.687
gonadoblastoma,c13.351.875.253.096.687.500
kallmann syndrome,c13.351.875.253.096.750
wagr syndrome,c13.351.875.253.096.875
gonadal dysgenesis,c13.351.875.253.309
"gonadal dysgenesis, 46,xx",c13.351.875.253.309.193
"gonadal dysgenesis, 46,xy",c13.351.875.253.309.388
gonadoblastoma,c13.351.875.253.309.388.500
"gonadal dysgenesis, mixed",c13.351.875.253.309.391
sexual infantilism,c13.351.875.253.309.631
turner syndrome,c13.351.875.253.309.872
ovotesticular disorders of sex development,c13.351.875.253.343
sex chromosome disorders of sex development,c13.351.875.253.795
freemartinism,c13.351.875.253.795.124
"gonadal dysgenesis, mixed",c13.351.875.253.795.249
klinefelter syndrome,c13.351.875.253.795.500
turner syndrome,c13.351.875.253.795.750
epispadias,c13.351.875.374
fraser syndrome,c13.351.875.397
fused kidney,c13.351.875.420
hypospadias,c13.351.875.466
multicystic dysplastic kidney,c13.351.875.558
"nephritis, hereditary",c13.351.875.742
retrocaval ureter,c13.351.875.811
solitary kidney,c13.351.875.846
urinary fistula,c13.351.875.881
urinary bladder fistula,c13.351.875.881.312
vesicovaginal fistula,c13.351.875.881.312.733
urogenital neoplasms,c13.351.937
"genital neoplasms, female",c13.351.937.418
fallopian tube neoplasms,c13.351.937.418.365
ovarian neoplasms,c13.351.937.418.685
brenner tumor,c13.351.937.418.685.265
"carcinoma, endometrioid",c13.351.937.418.685.331
"carcinoma, ovarian epithelial",c13.351.937.418.685.350
granulosa cell tumor,c13.351.937.418.685.398
hereditary breast and ovarian cancer syndrome,c13.351.937.418.685.431
luteoma,c13.351.937.418.685.464
meigs syndrome,c13.351.937.418.685.531
sertoli-leydig cell tumor,c13.351.937.418.685.648
thecoma,c13.351.937.418.685.765
uterine neoplasms,c13.351.937.418.875
endometrial neoplasms,c13.351.937.418.875.200
"carcinoma, endometrioid",c13.351.937.418.875.200.124
endometrial stromal tumors,c13.351.937.418.875.200.374
"sarcoma, endometrial stromal",c13.351.937.418.875.200.374.500
uterine cervical neoplasms,c13.351.937.418.875.850
vaginal neoplasms,c13.351.937.418.937
vulvar neoplasms,c13.351.937.418.968
urologic neoplasms,c13.351.937.820
kidney neoplasms,c13.351.937.820.535
"carcinoma, renal cell",c13.351.937.820.535.160
wilms tumor,c13.351.937.820.535.585
denys-drash syndrome,c13.351.937.820.535.585.220
wagr syndrome,c13.351.937.820.535.585.950
"nephroma, mesoblastic",c13.351.937.820.535.790
ureteral neoplasms,c13.351.937.820.875
urethral neoplasms,c13.351.937.820.890
urinary bladder neoplasms,c13.351.937.820.945
urologic diseases,c13.351.968
kidney diseases,c13.351.968.419
aids-associated nephropathy,c13.351.968.419.050
anuria,c13.351.968.419.078
diabetes insipidus,c13.351.968.419.135
"diabetes insipidus, nephrogenic",c13.351.968.419.135.500
"diabetes insipidus, neurogenic",c13.351.968.419.135.750
wolfram syndrome,c13.351.968.419.135.875
diabetic nephropathies,c13.351.968.419.192
hepatorenal syndrome,c13.351.968.419.291
hydronephrosis,c13.351.968.419.307
pyonephrosis,c13.351.968.419.307.500
hyperoxaluria,c13.351.968.419.313
"hyperoxaluria, primary",c13.351.968.419.313.500
"hypertension, renal",c13.351.968.419.331
"hypertension, renovascular",c13.351.968.419.331.490
kidney cortex necrosis,c13.351.968.419.393
"kidney diseases, cystic",c13.351.968.419.403
medullary sponge kidney,c13.351.968.419.403.500
multicystic dysplastic kidney,c13.351.968.419.403.750
polycystic kidney diseases,c13.351.968.419.403.875
"polycystic kidney, autosomal dominant",c13.351.968.419.403.875.500
"polycystic kidney, autosomal recessive",c13.351.968.419.403.875.510
kidney neoplasms,c13.351.968.419.473
"carcinoma, renal cell",c13.351.968.419.473.160
"nephroma, mesoblastic",c13.351.968.419.473.372
wilms tumor,c13.351.968.419.473.585
denys-drash syndrome,c13.351.968.419.473.585.220
wagr syndrome,c13.351.968.419.473.585.950
kidney papillary necrosis,c13.351.968.419.493
nephritis,c13.351.968.419.570
glomerulonephritis,c13.351.968.419.570.363
anti-glomerular basement membrane disease,c13.351.968.419.570.363.304
"glomerulonephritis, iga",c13.351.968.419.570.363.608
"glomerulonephritis, membranoproliferative",c13.351.968.419.570.363.615
"glomerulonephritis, membranous",c13.351.968.419.570.363.625
"glomerulosclerosis, focal segmental",c13.351.968.419.570.363.640
lupus nephritis,c13.351.968.419.570.363.680
"nephritis, hereditary",c13.351.968.419.570.620
"nephritis, interstitial",c13.351.968.419.570.643
balkan nephropathy,c13.351.968.419.570.643.150
pyelonephritis,c13.351.968.419.570.643.790
"pyelonephritis, xanthogranulomatous",c13.351.968.419.570.643.790.810
pyelitis,c13.351.968.419.570.821
pyelocystitis,c13.351.968.419.570.821.358
pyelonephritis,c13.351.968.419.570.821.717
"pyelonephritis, xanthogranulomatous",c13.351.968.419.570.821.717.810
nephrocalcinosis,c13.351.968.419.590
nephrolithiasis,c13.351.968.419.600
kidney calculi,c13.351.968.419.600.500
staghorn calculi,c13.351.968.419.600.500.500
nephrosclerosis,c13.351.968.419.610
nephrosis,c13.351.968.419.630
"nephrosis, lipoid",c13.351.968.419.630.477
nephrotic syndrome,c13.351.968.419.630.643
perinephritis,c13.351.968.419.685
renal artery obstruction,c13.351.968.419.775
renal insufficiency,c13.351.968.419.780
acute kidney injury,c13.351.968.419.780.050
"kidney tubular necrosis, acute",c13.351.968.419.780.050.500
cardio-renal syndrome,c13.351.968.419.780.400
"renal insufficiency, chronic",c13.351.968.419.780.750
"kidney failure, chronic",c13.351.968.419.780.750.500
frasier syndrome,c13.351.968.419.780.750.500.500
renal nutcracker syndrome,c13.351.968.419.787
chronic kidney disease-mineral and bone disorder,c13.351.968.419.795
"renal tubular transport, inborn errors",c13.351.968.419.815
"acidosis, renal tubular",c13.351.968.419.815.093
bartter syndrome,c13.351.968.419.815.279
dent disease,c13.351.968.419.815.364
fanconi syndrome,c13.351.968.419.815.450
gitelman syndrome,c13.351.968.419.815.491
"glycosuria, renal",c13.351.968.419.815.532
"hypophosphatemia, familial",c13.351.968.419.815.647
familial hypophosphatemic rickets,c13.351.968.419.815.647.500
liddle syndrome,c13.351.968.419.815.683
oculocerebrorenal syndrome,c13.351.968.419.815.720
pseudohypoaldosteronism,c13.351.968.419.815.770
renal aminoacidurias,c13.351.968.419.815.885
cystinuria,c13.351.968.419.815.885.250
hartnup disease,c13.351.968.419.815.885.625
"tuberculosis, renal",c13.351.968.419.912
uremia,c13.351.968.419.936
azotemia,c13.351.968.419.936.231
hemolytic-uremic syndrome,c13.351.968.419.936.463
atypical hemolytic uremic syndrome,c13.351.968.419.936.463.500
zellweger syndrome,c13.351.968.419.978
ureteral diseases,c13.351.968.725
ureteral neoplasms,c13.351.968.725.676
ureteral obstruction,c13.351.968.725.776
ureterocele,c13.351.968.725.876
ureterolithiasis,c13.351.968.725.938
ureteral calculi,c13.351.968.725.938.500
urethral diseases,c13.351.968.767
epispadias,c13.351.968.767.374
urethral neoplasms,c13.351.968.767.601
urethral obstruction,c13.351.968.767.700
urethral stricture,c13.351.968.767.700.700
urinary bladder neck obstruction,c13.351.968.767.700.850
urethritis,c13.351.968.767.851
urinary bladder diseases,c13.351.968.829
bladder exstrophy,c13.351.968.829.132
cystitis,c13.351.968.829.495
"cystitis, interstitial",c13.351.968.829.495.500
pyelocystitis,c13.351.968.829.495.750
cystocele,c13.351.968.829.508
urinary bladder calculi,c13.351.968.829.521
urinary bladder fistula,c13.351.968.829.548
vesicovaginal fistula,c13.351.968.829.548.733
urinary bladder neck obstruction,c13.351.968.829.601
urinary bladder neoplasms,c13.351.968.829.707
"urinary bladder, neurogenic",c13.351.968.829.760
"urinary bladder, overactive",c13.351.968.829.813
"urinary bladder, underactive",c13.351.968.829.867
vesico-ureteral reflux,c13.351.968.829.920
urinary tract infections,c13.351.968.892
bacteriuria,c13.351.968.892.219
pyuria,c13.351.968.892.719
schistosomiasis haematobia,c13.351.968.892.775
urination disorders,c13.351.968.934
anuria,c13.351.968.934.070
enuresis,c13.351.968.934.252
diurnal enuresis,c13.351.968.934.252.249
nocturnal enuresis,c13.351.968.934.252.500
glycosuria,c13.351.968.934.363
"glycosuria, renal",c13.351.968.934.363.450
hematuria,c13.351.968.934.442
oliguria,c13.351.968.934.600
polyuria,c13.351.968.934.616
proteinuria,c13.351.968.934.734
albuminuria,c13.351.968.934.734.269
hemoglobinuria,c13.351.968.934.734.634
urinary incontinence,c13.351.968.934.814
"urinary incontinence, stress",c13.351.968.934.814.500
"urinary incontinence, urge",c13.351.968.934.814.750
urinary retention,c13.351.968.934.880
urolithiasis,c13.351.968.967
nephrolithiasis,c13.351.968.967.249
kidney calculi,c13.351.968.967.249.500
staghorn calculi,c13.351.968.967.249.500.500
ureterolithiasis,c13.351.968.967.374
ureteral calculi,c13.351.968.967.374.500
urinary calculi,c13.351.968.967.500
kidney calculi,c13.351.968.967.500.503
staghorn calculi,c13.351.968.967.500.503.500
ureteral calculi,c13.351.968.967.500.851
urinary bladder calculi,c13.351.968.967.500.925
pregnancy complications,c13.703
"abortion, spontaneous",c13.703.039
"abortion, habitual",c13.703.039.089
uterine cervical incompetence,c13.703.039.089.339
"abortion, incomplete",c13.703.039.093
"abortion, missed",c13.703.039.173
"abortion, septic",c13.703.039.256
"abortion, veterinary",c13.703.039.422
embryo loss,c13.703.039.711
"abortion, threatened",c13.703.090
chorea gravidarum,c13.703.141
"diabetes, gestational",c13.703.170
fetal macrosomia,c13.703.170.500
fetal death,c13.703.223
fetal resorption,c13.703.223.300
stillbirth,c13.703.223.650
fetal diseases,c13.703.277
chorioamnionitis,c13.703.277.030
echogenic bowel,c13.703.277.050
"erythroblastosis, fetal",c13.703.277.060
hydrops fetalis,c13.703.277.060.480
fetal alcohol spectrum disorders,c13.703.277.220
fetal growth retardation,c13.703.277.370
fetal hypoxia,c13.703.277.390
fetal macrosomia,c13.703.277.570
fetal nutrition disorders,c13.703.277.677
meconium aspiration syndrome,c13.703.277.785
pyelectasis,c13.703.277.838
"hypertension, pregnancy-induced",c13.703.395
eclampsia,c13.703.395.124
hellp syndrome,c13.703.395.186
pre-eclampsia,c13.703.395.249
maternal death,c13.703.401
morning sickness,c13.703.407
hyperemesis gravidarum,c13.703.407.500
nuchal cord,c13.703.413
obstetric labor complications,c13.703.420
abruptio placentae,c13.703.420.078
breech presentation,c13.703.420.183
cephalopelvic disproportion,c13.703.420.235
dystocia,c13.703.420.288
uterine inertia,c13.703.420.288.728
"fetal membranes, premature rupture",c13.703.420.339
chorioamnionitis,c13.703.420.339.260
"obstetric labor, premature",c13.703.420.491
premature birth,c13.703.420.491.500
placenta accreta,c13.703.420.643
placenta previa,c13.703.420.714
postpartum hemorrhage,c13.703.420.725
uterine inversion,c13.703.420.814
uterine rupture,c13.703.420.904
vasa previa,c13.703.420.952
oligohydramnios,c13.703.560
pelvic floor disorders,c13.703.565
pemphigoid gestationis,c13.703.570
perinatal death,c13.703.572
"phenylketonuria, maternal",c13.703.575
placenta diseases,c13.703.590
abruptio placentae,c13.703.590.132
chorioamnionitis,c13.703.590.268
placenta accreta,c13.703.590.609
placenta previa,c13.703.590.734
"placenta, retained",c13.703.590.767
placental insufficiency,c13.703.590.800
polyhydramnios,c13.703.610
"pregnancy complications, cardiovascular",c13.703.634
"embolism, amniotic fluid",c13.703.634.404
"pregnancy complications, hematologic",c13.703.667
"pregnancy complications, infectious",c13.703.700
"abortion, septic",c13.703.700.173
"pregnancy complications, parasitic",c13.703.700.680
puerperal infection,c13.703.700.715
"pregnancy complications, neoplastic",c13.703.720
trophoblastic neoplasms,c13.703.720.949
choriocarcinoma,c13.703.720.949.208
"choriocarcinoma, non-gestational",c13.703.720.949.208.438
"trophoblastic tumor, placental site",c13.703.720.949.208.875
gestational trophoblastic disease,c13.703.720.949.416
hydatidiform mole,c13.703.720.949.416.875
"hydatidiform mole, invasive",c13.703.720.949.416.875.500
pregnancy in diabetics,c13.703.726
fetal macrosomia,c13.703.726.570
"pregnancy, ectopic",c13.703.733
"pregnancy, abdominal",c13.703.733.536
"pregnancy, angular",c13.703.733.619
"pregnancy, cornual",c13.703.733.640
"pregnancy, heterotopic",c13.703.733.650
"pregnancy, ovarian",c13.703.733.661
"pregnancy, tubal",c13.703.733.703
"pregnancy, interstitial",c13.703.733.703.500
"pregnancy, prolonged",c13.703.805
prenatal injuries,c13.703.824
prenatal exposure delayed effects,c13.703.824.500
puerperal disorders,c13.703.844
"depression, postpartum",c13.703.844.253
lactation disorders,c13.703.844.506
galactorrhea,c13.703.844.506.389
chiari-frommel syndrome,c13.703.844.506.389.500
mastitis,c13.703.844.603
granulomatous mastitis,c13.703.844.603.400
postpartum hemorrhage,c13.703.844.700
postpartum thyroiditis,c13.703.844.714
pubic symphysis diastasis,c13.703.844.728
puerperal infection,c13.703.844.757
cardiovascular diseases,c14
cardiovascular abnormalities,c14.240
"heart defects, congenital",c14.240.400
22q11 deletion syndrome,c14.240.400.021
digeorge syndrome,c14.240.400.021.500
alagille syndrome,c14.240.400.044
aortic coarctation,c14.240.400.090
arrhythmogenic right ventricular dysplasia,c14.240.400.145
barth syndrome,c14.240.400.172
cor triatriatum,c14.240.400.200
coronary vessel anomalies,c14.240.400.210
bland white garland syndrome,c14.240.400.210.249
myocardial bridging,c14.240.400.210.500
crisscross heart,c14.240.400.220
dextrocardia,c14.240.400.280
kartagener syndrome,c14.240.400.280.500
"ductus arteriosus, patent",c14.240.400.340
ebstein anomaly,c14.240.400.395
ectopia cordis,c14.240.400.422
eisenmenger complex,c14.240.400.450
heart septal defects,c14.240.400.560
aortopulmonary septal defect,c14.240.400.560.098
"truncus arteriosus, persistent",c14.240.400.560.098.500
endocardial cushion defects,c14.240.400.560.350
"heart septal defects, atrial",c14.240.400.560.375
"foramen ovale, patent",c14.240.400.560.375.258
lutembacher syndrome,c14.240.400.560.375.518
"heart septal defects, ventricular",c14.240.400.560.540
heterotaxy syndrome,c14.240.400.592
hypoplastic left heart syndrome,c14.240.400.625
isolated noncompaction of the ventricular myocardium,c14.240.400.660
leopard syndrome,c14.240.400.695
levocardia,c14.240.400.701
marfan syndrome,c14.240.400.725
noonan syndrome,c14.240.400.787
tetralogy of fallot,c14.240.400.849
transposition of great vessels,c14.240.400.915
double outlet right ventricle,c14.240.400.915.300
tricuspid atresia,c14.240.400.920
trilogy of fallot,c14.240.400.960
trisomy 13 syndrome,c14.240.400.970
trisomy 18 syndrome,c14.240.400.975
turner syndrome,c14.240.400.980
vascular malformations,c14.240.850
arteriovenous malformations,c14.240.850.750
arteriovenous fistula,c14.240.850.750.147
carotid-cavernous sinus fistula,c14.240.850.750.147.500
intracranial arteriovenous malformations,c14.240.850.750.295
vein of galen malformations,c14.240.850.750.295.500
central nervous system vascular malformations,c14.240.850.875
central nervous system venous angioma,c14.240.850.875.124
"hemangioma, cavernous, central nervous system",c14.240.850.875.249
intracranial arteriovenous malformations,c14.240.850.875.500
vein of galen malformations,c14.240.850.875.500.500
sinus pericranii,c14.240.850.875.750
may-thurner syndrome,c14.240.850.906
median arcuate ligament syndrome,c14.240.850.922
