hsa-mir-18b,adrenal cortex neoplasms
hsa-mir-30e,hepatic ischemia-reperfusion injury
hsa-mir-190a,"lymphoma, large-cell, anaplastic"
hsa-mir-644a,sarcomatoid mesothelioma
hsa-mir-3127,"brain injuries, traumatic"
hsa-mir-1268a,cholestasis
hsa-mir-4262,"arthritis, psoriatic"
hsa-mir-670,head and neck neoplasms
hsa-let-7a-2,amyloidosis
hsa-mir-1264,chemical and drug induced liver injury
hsa-mir-105-2,"carcinoma, periampullary"
hsa-mir-1224,periodontal diseases
hsa-mir-153-1,"fatty liver, alcoholic"
hsa-mir-361,polycythemia vera
hsa-mir-4672,"lymphoma, large b-cell, diffuse"
hsa-mir-153-1,inner ear inflammation
hsa-mir-624,anxiety
hsa-mir-648,burns
hsa-mir-920,lymphoproliferative disorders
hsa-mir-7705,"carcinoma, thyroid, follicular"
hsa-mir-512-1,pneumonia
hsa-mir-4661,liver diseases
hsa-mir-4295,macular degeneration
hsa-mir-4787,stomach neoplasms
hsa-mir-297,"carcinoma, gingival"
hsa-mir-128-2,proliferative vitreoretinal disease
hsa-mir-3179-3,intermittent claudication
hsa-mir-181d,parkinson disease
hsa-mir-4742,burkitt lymphoma
hsa-mir-643,"sarcoma, synovial"
hsa-mir-1245a,varicocele
hsa-mir-933,uterine cervicitis
hsa-mir-4518,rectum adenocarcinoma
hsa-mir-6126,"squamous cell carcinoma, skin or unspecific"
hsa-mir-3196,"pregnancy, ectopic"
hsa-mir-944,osteogenesis imperfecta
hsa-mir-5003,mucocutaneous lymph node syndrome
hsa-mir-197,schizophrenia
hsa-mir-642b,"lymphoma, t-cell, cutaneous"
hsa-mir-202,"hamartoma syndrome, multiple"
hsa-mir-1293,attention deficit disorder with hyperactivity
hsa-mir-1302-2,renal fibrosis
hsa-mir-6826,inherited hemoglobin disease
hsa-mir-5590,"thrombocythemia, essential"
hsa-mir-670,myocardial infarction
hsa-mir-19b-1,rhinosinusitis
hsa-mir-939,nasopharyngeal neoplasms
hsa-mir-4423,diabetic cardiomyopathies
hsa-mir-1297,"leukemia, myeloid, chronic-phase"
hsa-mir-378a,recurrent wheezing
hsa-mir-99a,"cytotoxicity tests, immunologic"
hsa-mir-3162,"carcinoma, ovarian, clear cell"
hsa-mir-29a,cerebral infarction
hsa-mir-198,renal oncocytoma
hsa-mir-770,colon adenoma
hsa-mir-641,non-neoplastic diseases
hsa-mir-153-1,hepatitis e
hsa-mir-758,capsule opacification
hsa-mir-1246,lofgren syndrome
hsa-mir-3714,skin hemangioma
hsa-mir-4463,inner ear inflammation
hsa-mir-3177,toxoplasmosis
hsa-mir-1306,alopecia
hsa-mir-6836,chlamydia infections
hsa-mir-532,"anemia, sickle cell"
hsa-mir-601,"myasthenic syndromes, congenital"
hsa-mir-586,"hepatitis, chronic"
hsa-mir-365b,pterygium
hsa-mir-299,lung injury
hsa-mir-548d-1,arbovirus infections
hsa-mir-382,embryonal testis carcinoma
hsa-mir-4639,dental enamel hypoplasia
hsa-mir-6780b,"leukemia, t-cell"
hsa-mir-3646,pituitary neoplasms
hsa-mir-4505,"lymphoma, t-cell, cutaneous"
hsa-mir-596,growth hormone-secreting pituitary adenoma
hsa-mir-4778,becker muscular dystrophy
hsa-mir-518a-2,"neoplasms, germ cell and embryonal"
hsa-mir-302b,cervix endometrial stromal tumor
hsa-mir-1290,varicocele
hsa-mir-548a-3,anemia
hsa-mir-1-2,ovarian diseases
hsa-mir-1185-1,cholesteatoma
hsa-mir-4467,staphylococcal scalded skin syndrome
hsa-mir-378e,"pancreatitis, chronic"
hsa-mir-153-2,"aortic aneurysm, abdominal"
hsa-mir-6088,cryptosporidiosis
hsa-mir-30c-1,chronic inflammation
hsa-mir-1203,schizophrenia
hsa-mir-4294,ovarian diseases
hsa-mir-29c,colon adenoma
hsa-mir-1910,tuberculosis
hsa-mir-4723,dental enamel hypoplasia
hsa-mir-5189,biliary tract neoplasms
hsa-mir-499b,"cardiomyopathy, hypertrophic"
hsa-mir-650,rhinosinusitis
hsa-mir-363,proliferative glomerulonephritis
hsa-mir-125a,crohn disease
hsa-mir-19b-2,"carcinoma, non-small-cell lung"
hsa-mir-6826,acute cerebral ischemia
hsa-mir-1255a,chikungunya fever
hsa-mir-217,"arthritis, rheumatoid"
hsa-mir-4516,idiopathic asthenospermia
hsa-mir-34c,autism spectrum disorder
hsa-mir-4726,epstein-barr virus infections
hsa-mir-1266,"influenza, human"
hsa-mir-378a,nevus
hsa-mir-487a,liver cirrhosis
hsa-let-7a-1,pheochromocytoma
hsa-mir-34c,brain neoplasms
hsa-mir-527,meningioma
hsa-mir-378c,rhinosinusitis
hsa-mir-3923,parkinson disease
hsa-mir-421,hyperaldosteronism
hsa-mir-4268,hyperhomocysteinemia
hsa-mir-5009,bile duct neoplasms
hsa-mir-144,neuroendocrine tumors
hsa-mir-1247,"colitis, ulcerative"
hsa-mir-889,attention deficit disorder with hyperactivity
hsa-mir-135a-2,paratuberculosis
hsa-mir-4310,"cardiomyopathy, ischemic"
hsa-mir-133a-1,vitiligo
hsa-mir-519b,carcinosarcoma
hsa-mir-5009,"anemia, sickle cell"
hsa-mir-199a-2,early-stage lung adenocarcinoma
hsa-mir-450a-1,"adenocarcinoma, ampullary"
hsa-mir-203b,subarachnoid hemorrhage
hsa-mir-655,thyroid neoplasms
hsa-mir-98,familial primary pulmonary hypertension
hsa-mir-608,"obstetric labor, premature"
hsa-mir-3651,"liver cirrhosis, biliary"
hsa-mir-498,perlman syndrome
hsa-mir-17,fibromyalgia
hsa-mir-320a,friedreich ataxia
hsa-mir-4687,lung neoplasms
hsa-mir-586,endocardial cushion defects
hsa-mir-99b,amyotrophic lateral sclerosis
hsa-mir-139,metabolic syndrome
hsa-mir-516b-1,waldenstrom macroglobulinemia
hsa-mir-4770,cone dystrophy
hsa-mir-4508,psychotic disorders
hsa-mir-502,"leukemia, biphenotypic, acute"
hsa-mir-190a,schizophrenia
hsa-mir-9-3,uremic neuropathy
hsa-mir-151a,aneurysm
hsa-mir-3622b,marek disease
hsa-mir-188,nephrolithiasis
hsa-mir-19b-2,barrett esophagus
hsa-mir-3664,pain
hsa-mir-4732,complex regional pain syndromes
hsa-mir-370,supraglottitis
hsa-mir-141,ganglioglioma
hsa-mir-2116,early-stage gastric carcinoma
hsa-let-7e,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-3130-2,"leukemia, myeloid"
hsa-mir-134,bicuspid aortic valve disease
hsa-mir-509-3,"leukemia, myeloid, acute"
hsa-mir-7107,prostatic neoplasms
hsa-mir-151a,endometriosis
hsa-mir-500a,idiopathic short stature
hsa-mir-483,hypoxia
hsa-mir-4268,nephrosclerosis
hsa-mir-9-2,"carcinoma, adenoid cystic"
hsa-mir-133b,cone dystrophy
hsa-mir-506,pelvic inflammatory disease
hsa-mir-579,diabetic neuropathies
hsa-mir-195,myotonic dystrophy
hsa-mir-496,legg-calve-perthes disease
hsa-mir-4664,giant cell tumor of bone
hsa-mir-5000,rectal neoplasms
hsa-mir-6720,"shock, hemorrhagic"
hsa-mir-644a,fabry disease
hsa-mir-767,"leukemia, b-cell"
hsa-mir-3148,cerebral infarction
hsa-mir-572,narcolepsy
hsa-mir-6799,"leukemia, megakaryoblastic, acute"
hsa-mir-3915,salivary gland disease
hsa-mir-186,hypertension
hsa-mir-144,"lymphoma, follicular"
hsa-mir-4775,"cardiomyopathy, ischemic"
hsa-mir-346,primary myelofibrosis
hsa-mir-513c,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-147b,schizophrenia
hsa-mir-4706,skin diseases
hsa-mir-518a-2,reproductive system disease
hsa-mir-493,"cardiomyopathy, ischemic"
hsa-mir-551b,keratitis
hsa-mir-1307,parkinson disease
hsa-mir-22,fatty liver
hsa-let-7c,borna disease
hsa-mir-625,"squamous cell carcinoma, tongue"
hsa-mir-3179-2,"adenocarcinoma, esophageal"
hsa-mir-586,crohn disease
hsa-mir-592,spinal cord injuries
hsa-mir-6838,cerebral cavernous malformations
hsa-mir-4436b-2,"encephalitis viruses, japanese"
hsa-mir-4489,"thrombocythemia, essential"
hsa-mir-4717,hypertension
hsa-mir-99a,cerebral infarction
hsa-mir-6124,metabolic syndrome
hsa-mir-1245b,"lymphoma, b-cell"
hsa-mir-346,"sleep apnea, obstructive"
hsa-mir-583,neuronal apoptosis-related diseases
hsa-mir-204,congenital microtia
hsa-mir-1179,sjogren's syndrome
hsa-mir-218-1,"rhinitis, allergic"
hsa-mir-122,myocarditis
hsa-mir-610,ovarian neoplasms
hsa-mir-617,"ischemic attack, transient"
hsa-mir-496,"lymphoma, primary effusion"
hsa-mir-4455,"colitis, ulcerative"
hsa-mir-889,"anemia, sickle cell"
hsa-mir-378c,supraglottitis
hsa-mir-938,biliary tract neoplasms
hsa-mir-130a,"carcinoma, ehrlich tumor"
hsa-mir-1227,endocardial cushion defects
hsa-mir-892a,"stroke, ischemic"
hsa-mir-22,dyspepsia
hsa-let-7c,liver neoplasms
hsa-mir-8084,thymoma
hsa-mir-1914,chronic inflammation
hsa-mir-622,myocardial ischemia
hsa-mir-143,mucocutaneous lymph node syndrome
hsa-mir-4756,"carcinoma, skin appendage"
hsa-mir-425,b-cell childhood acute lymphoblastic leukemia
hsa-mir-489,holt-oram syndrome
hsa-mir-944,hepatitis e
hsa-mir-582,ovarian diseases
hsa-mir-1323,growth hormone-secreting pituitary adenoma
hsa-mir-579,pneumonia
hsa-mir-1224,"squamous cell carcinoma, head and neck"
hsa-mir-330,spinal stenosis
hsa-mir-216b,hellp syndrome
hsa-mir-510,multiple sclerosis
hsa-mir-613,bronchopulmonary dysplasia
hsa-mir-202,chorioamnionitis
hsa-mir-198,leukemia
hsa-mir-516b-2,biliary atresia
hsa-mir-500b,balkan nephropathy
hsa-mir-579,myotonic dystrophy
hsa-mir-519d,diabetic nephropathies
hsa-mir-3065,bronchopneumonia
hsa-mir-640,spinal stenosis
hsa-mir-365b,adenosquamous pancreas carcinoma
hsa-mir-376a-2,"carcinoma, non-small-cell lung"
hsa-mir-1253,"osteoporosis, postmenopausal"
hsa-mir-760,ileus
hsa-mir-639,acute cerebral ischemia
hsa-mir-7109,esophagitis
hsa-mir-455,triple negative breast neoplasms
hsa-mir-4310,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-320c-1,"pancreatitis, acute necrotizing"
hsa-mir-320b-1,granulosa cell tumor
hsa-mir-133a-1,waldenstrom macroglobulinemia
hsa-mir-4302,skin neoplasms
hsa-mir-1294,primary myelofibrosis
hsa-mir-888,asthma
hsa-mir-1204,brain neoplasms
hsa-mir-92a-1,granulosa cell tumor
hsa-mir-3138,pregnancy complications
hsa-mir-627,anodontia
hsa-mir-1302-6,pancreatic neoplasms
hsa-mir-101-2,"carcinoma, transitional cell"
hsa-mir-3182,gastroduodenal ulcer
hsa-mir-4306,uterine corpus endometrial carcinoma
hsa-mir-4521,ileus
hsa-mir-548e,neurilemmoma
hsa-mir-548p,glomerulonephritis
hsa-mir-124-1,"carcinoma, embryonal"
hsa-mir-640,focal epithelial hyperplasia
hsa-mir-4634,cataract
hsa-mir-338,endomyocardial fibrosis
hsa-mir-500b,aneurysm
hsa-let-7a-1,"myasthenic syndromes, congenital"
hsa-mir-137,angiomyolipoma
hsa-mir-381,diabetic angiopathies
hsa-mir-1248,"leukoplakia, oral"
hsa-mir-4507,"carcinoma, pancreatic ductal"
hsa-mir-136,"carcinoma, periampullary"
hsa-mir-629,myasthenia gravis
hsa-mir-6853,myocarditis
hsa-mir-4436b-1,"carcinoma, merkel cell"
hsa-mir-4736,prolactinoma
hsa-mir-675,pancreatic diseases
hsa-mir-635,"leukemia, acute"
hsa-mir-514a-1,"diabetes mellitus, type 1"
hsa-mir-548a-3,chickenpox
hsa-mir-326,"lymphoma, large-cell, anaplastic"
hsa-mir-588,asthenozoospermia
hsa-mir-5590,glaucoma
hsa-mir-136,generalized epilepsy with febrile seizures plus
hsa-mir-544b,rectum adenocarcinoma
hsa-mir-935,holt-oram syndrome
hsa-mir-4534,"leukemia, myeloid, acute, pediatric"
hsa-mir-1236,otitis media
hsa-mir-578,"diabetes mellitus, type 1"
hsa-mir-1245a,hepatoblastoma
hsa-mir-1343,non-syndromic orofacial clefts
hsa-mir-125b-2,"carcinoma, ovarian, clear cell"
hsa-mir-4731,stroke
hsa-mir-429,thymoma
hsa-mir-142,recurrent wheezing
hsa-mir-9-3,pterygium
hsa-mir-101-1,amyloidosis
hsa-mir-942,"lymphoma, non-hodgkin"
hsa-mir-548am,eclampsia
hsa-mir-548a-1,frontotemporal lobar degeneration
hsa-mir-378i,proliferative diabetic retinopathy
hsa-mir-676,"carcinoma, neuroendocrine"
hsa-mir-604,silicosis
hsa-mir-181b-1,chronic pain
hsa-mir-526a-1,gastrointestinal neoplasms
hsa-mir-6068,"carcinoma, endometrioid"
hsa-mir-497,non-neoplastic diseases
hsa-mir-6873,selective ige deficiency disease
hsa-mir-1246,neurodegenerative diseases
hsa-mir-4446,down syndrome
hsa-let-7b,depressive disorder
hsa-mir-641,ischemia
hsa-mir-942,osteonecrosis
hsa-mir-5586,behcet syndrome
hsa-mir-3170,bone diseases
hsa-mir-1468,peritoneal neoplasms
hsa-mir-4324,chlamydia infections
hsa-mir-4436b-2,ovary mixed epithelial carcinoma
hsa-mir-412,retinal degeneration
hsa-mir-182,hyperlipidemias
hsa-mir-642b,periodontitis
hsa-mir-23c,"adenocarcinoma, colon"
hsa-mir-9500,kidney osteogenic sarcoma
hsa-mir-513c,hodgkin disease
hsa-mir-215,retinitis pigmentosa
hsa-mir-517a,acquired immunodeficiency syndrome
hsa-mir-4772,"thrombocythemia, essential"
hsa-mir-130a,thrombocytosis
hsa-mir-4262,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-367,lung injury
hsa-mir-5091,"lymphoma, non-hodgkin"
hsa-mir-32,colorectal adenoma
hsa-mir-4648,small intestine carcinoma
hsa-mir-5582,breast adenocarcinoma
hsa-mir-519b,hypertrophy
hsa-mir-514a-2,"hepatitis c, chronic"
hsa-mir-532,"carcinoma, hepatocellular, hcv-related"
hsa-mir-378h,skin diseases
hsa-mir-329-2,hyperhomocysteinemia
hsa-mir-613,melanosis
hsa-mir-625,skin injury
hsa-mir-608,"leukoplakia, oral"
hsa-mir-3144,"tuberculosis, pulmonary"
hsa-mir-6508,osteosarcoma
hsa-mir-761,sertoli cell-only syndrome
hsa-mir-520c,alopecia
hsa-mir-1234,hellp syndrome
hsa-mir-663a,aortic valve stenosis
hsa-mir-5010,acute coronary syndrome
hsa-mir-380,"sarcoma, ewing"
hsa-mir-16-1,hepatitis e
hsa-mir-181a-1,"squamous cell carcinoma, tongue"
hsa-mir-218-1,aortic valve disease
hsa-mir-1203,chronic alcohol-induced alveolar macrophage dysfunction
hsa-mir-597,uterine corpus myxoid leiomyosarcoma
hsa-mir-211,cleidocranial dysplasia
hsa-mir-298,carcinosarcoma
hsa-mir-557,"carcinoma, merkel cell"
hsa-mir-512-2,periodontitis
hsa-mir-1827,liposarcoma
hsa-mir-550a-3,"leukemia, lymphoblastic, acute, t-cell"
hsa-mir-1299,intermittent claudication
hsa-mir-518d,otitis media
hsa-mir-1249,intracranial aneurysm
hsa-mir-128-1,sezary syndrome
hsa-mir-26a-1,macular degeneration
hsa-mir-519b,pancreatic diseases
hsa-mir-218-2,congenital deafness
hsa-mir-4268,rapidly progressive glomerulonephritis
hsa-mir-4258,ovary mixed epithelial carcinoma
hsa-mir-576,gerstmann-straussler-scheinker disease
hsa-mir-4293,hearing loss
hsa-mir-614,"carcinoma, thyroid, medullary"
hsa-mir-452,"gastritis, atrophic"
hsa-mir-142,attention deficit disorder with hyperactivity
hsa-mir-320c-1,nephrosclerosis
hsa-mir-1184-1,epstein-barr virus infections
hsa-let-7g,burkitt lymphoma
hsa-mir-516a-1,breast adenocarcinoma
hsa-mir-4294,intellectual disability
hsa-mir-4758,hemoglobin sc disease
hsa-mir-224,"systemic lupus erythematosus, with pericarditis"
hsa-mir-515-2,testicular neoplasms
hsa-mir-147a,gliosis
hsa-mir-128-2,intracranial arteriovenous malformations
hsa-mir-4516,vitiligo
hsa-mir-577,graft rejection
hsa-mir-28,"dermatitis, atopic"
hsa-mir-302e,wilms tumor
hsa-mir-15a,"leukemia, biphenotypic, acute"
hsa-mir-519a-2,polycystic kidney diseases
hsa-mir-135a-1,familial mediterranean fever
hsa-mir-196a-2,"stress disorders, post-traumatic"
hsa-mir-1-1,leiomyosarcoma
hsa-mir-4274,cardiometabolic disorders
hsa-mir-339,early-stage lung adenocarcinoma
hsa-mir-302a,cardiac myocyte injury
hsa-mir-4739,"carcinoma, urothelial, upper tract"
hsa-mir-378b,hemophilia a
hsa-mir-550b-2,"lung diseases, interstitial"
hsa-mir-4756,anxiety
hsa-mir-23b,intermittent claudication
hsa-mir-224,status epilepticus
hsa-mir-3201,early-stage gastric carcinoma
hsa-mir-526b,choriocarcinoma
hsa-mir-323a,porphyromonas gingivalis
hsa-mir-3146,"small cell carcinoma, esophageal"
hsa-mir-500b,sebaceous carcinoma
hsa-mir-297,barrett esophagus
hsa-mir-1227,neuroendocrine tumors
hsa-mir-604,bronchopneumonia
hsa-mir-5189,complex regional pain syndromes
hsa-mir-1843,bone diseases
hsa-mir-671,"pancreatitis, acute necrotizing"
hsa-mir-647,"carcinoma, ductal"
hsa-mir-1275,"lymphoma, t-cell, cutaneous"
hsa-mir-4487,"adenocarcinoma, colon"
hsa-mir-145,giant cell tumor of bone
hsa-mir-34b,endocrine gland neoplasms
hsa-mir-1182,uveomeningoencephalitic syndrome
hsa-mir-516b-1,lupus nephritis
hsa-mir-630,"tuberculosis, pulmonary"
hsa-mir-548q,"niemann-pick disease, type c"
hsa-mir-500b,"squamous cell carcinoma, tongue"
hsa-mir-128-2,pediatric osteosarcoma
hsa-mir-1236,endomyocardial fibrosis
hsa-mir-591,childhood leukemia
hsa-mir-612,melanoma
hsa-mir-1290,coronavirus infections
hsa-mir-1270,myositis ossificans
hsa-mir-3074,myotonic dystrophy
hsa-mir-6853,"osteoporosis, postmenopausal"
hsa-mir-1976,pten hamartoma tumor tyndrome
hsa-mir-3664,kidney neoplasms
hsa-mir-4501,bipolar disorder
hsa-mir-2355,uveitis
hsa-mir-5692b,rapidly progressive glomerulonephritis
hsa-mir-450a-2,aortic valve insufficiency
hsa-mir-4480,prostatic neoplasms
hsa-mir-497,"hearing loss, central"
hsa-mir-7161,fibromyalgia
hsa-mir-4717,tetralogy of fallot
hsa-mir-3182,"squamous cell carcinoma, esophageal"
hsa-mir-562,epilepsy
hsa-mir-500b,coronary artery disease
hsa-mir-9-3,bone neoplasms
hsa-mir-328,brain neoplasms
hsa-mir-361,"shock, septic"
hsa-mir-3928,uterine corpus endometrial carcinoma
hsa-mir-500b,metabolic syndrome
hsa-mir-198,diabetic nephropathies
hsa-mir-4775,"sarcoma, synovial"
hsa-mir-4728,"enterocolitis, necrotizing"
hsa-mir-302f,pediatric glioma
hsa-mir-585,autistic disorder
hsa-mir-512-1,pten hamartoma tumor tyndrome
hsa-mir-4454,lymphedema
hsa-mir-935,"solitary fibrous tumor, pleural"
hsa-mir-3163,digeorge syndrome
hsa-mir-1302-6,sertoli cell-only syndrome
hsa-mir-3658,myocardial ischemia
hsa-mir-153-1,borna disease
hsa-mir-550a-3,status epilepticus
hsa-mir-6721,hemangiosarcoma
hsa-mir-514b,pediatric glioma
hsa-mir-8084,"epilepsy, temporal lobe"
hsa-mir-329-1,"lupus erythematosus, systemic"
hsa-mir-3171,nervous system diseases
hsa-mir-3175,head and neck neoplasms
hsa-mir-619,peritoneal neoplasms
hsa-mir-1180,"hernia, diaphragmatic"
hsa-mir-1229,keloid
hsa-mir-4279,li-fraumeni syndrome
hsa-mir-4721,anemia
hsa-mir-6861,thrombocytopenia
hsa-mir-452,testicular germ cell tumor
hsa-mir-3179-2,rhabdomyosarcoma
hsa-mir-1182,"carcinoma, pancreatic ductal"
hsa-mir-1226,aortic aneurysm
hsa-mir-1296,infection
hsa-mir-185,endometriosis
hsa-mir-3162,"squamous cell carcinoma, lung"
hsa-mir-497,anemia
hsa-mir-6721,intracranial arteriovenous malformations
hsa-mir-1265,gliosis
hsa-mir-490,"adenocarcinoma, ampullary"
hsa-mir-1827,nut midline carcinoma
hsa-mir-3130-1,medulloblastoma
hsa-mir-24-2,uterine neoplasms
hsa-mir-542,"encephalitis viruses, japanese"
hsa-mir-26b,inherited hemoglobin disease
hsa-mir-101-2,vulvar neoplasms
hsa-mir-373,salivary gland disease
hsa-mir-525,uterine cervicitis
hsa-mir-761,fibromyalgia
hsa-mir-513c,"carcinoma, signet ring cell"
hsa-mir-33b,"sarcoma, endometrial stromal"
hsa-mir-4775,"leukemia, erythroblastic, acute"
hsa-mir-218-2,oral submucous fibrosis
hsa-mir-196b,congenital deafness
hsa-mir-302d,"hernia, diaphragmatic"
hsa-mir-320a,barrett esophagus
hsa-mir-346,nut midline carcinoma
hsa-mir-501,gaucher disease
hsa-mir-762,obesity
hsa-mir-378d-1,cholesteatoma
hsa-mir-612,diabetic cataract
hsa-mir-4500,down syndrome
hsa-mir-214,"hemorrhagic fever, ebola"
hsa-mir-1290,neuralgia
hsa-mir-4497,intestinal diseases
hsa-mir-4455,endotoxemia
hsa-mir-647,glioma
hsa-mir-544a,early-stage lung carcinoma
hsa-mir-933,"osteoarthritis, knee"
hsa-mir-143,bronchopneumonia
hsa-mir-372,cardio-renal syndrome
hsa-mir-1305,metabolic diseases
hsa-mir-3677,legg-calve-perthes disease
hsa-mir-211,leprosy
hsa-mir-103a-2,metabolic syndrome
hsa-mir-1287,machado-joseph disease
hsa-mir-564,retinal neovascularization
hsa-mir-1-1,otitis media
hsa-mir-1976,"sarcoidosis, pulmonary"
hsa-mir-6826,vasculitis
hsa-mir-645,"osteoporosis, postmenopausal"
hsa-mir-95,gallbladder neoplasms
hsa-mir-3667,reperfusion injury
hsa-mir-3941,melanosis
hsa-mir-888,diabetic retinopathy
hsa-mir-320e,liver failure
hsa-mir-6886,neutropenia
hsa-mir-487b,alcoholism
hsa-mir-571,"lung diseases, interstitial"
hsa-mir-663a,thrombocytosis
hsa-mir-941-1,peripheral nervous system diseases
hsa-mir-664b,endocrine gland neoplasms
hsa-mir-590,pediatric ependymoma
hsa-mir-4467,diabetic encephalopathy
hsa-mir-4709,uterine cervical neoplasms
hsa-mir-296,brucellosis
hsa-mir-499b,multiple endocrine neoplasia type 1
hsa-mir-876,vulvar neoplasms
hsa-mir-1260a,diabetic cardiomyopathies
hsa-mir-873,musculoskeletal abnormalities
hsa-mir-3664,sepsis
hsa-mir-4446,"dermatitis, atopic"
hsa-mir-1303,hepatoblastoma
hsa-mir-874,spinal stenosis
hsa-mir-145,"pulmonary disease, chronic obstructive"
hsa-mir-4731,"carcinoma, thyroid, follicular"
hsa-mir-124-1,barrett esophagus
hsa-mir-1237,brucellosis
hsa-mir-4687,cone dystrophy
hsa-mir-1260b,chronic alcohol-induced alveolar macrophage dysfunction
hsa-mir-1305,"ischemic attack, transient"
hsa-mir-514b,haemophilus infections
hsa-mir-676,"lymphoma, mantle-cell"
hsa-mir-518b,digestive system neoplasms
hsa-mir-641,colorectal neoplasms
